Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C29, C3, C30, C31",0603,5,1uF/50V,C15849
"C10, C12, C14, C15, C2, C22, C25, C39, C4, C40, C41, C42, C47, C5, C7, C8",0603,16,0.1uF,C15725
"C11, C18, C26, C27, C28",0603,5,0.22uF/100V,C2169715
"C13, C32, C33, C34, C43, C44, C45, C46",0603,8,1nF/100V,C113793
"C16, C17",0603,2,8pF,C519117
"C19, C20, C21",CP_Radial_D12.5mm_P5.00mm,3,470uF/80V,C385881
C23,0805,1,22uF/25V,C45783
C24,0805,1,2.2uF/100V,C2981733
"C35, C36, C37",0603,3,470pF/100V,C326973
C38,EEEFKC220UAR,1,22uF/10V,C401733
"C6, C9",0805,2,10uF/50V,C440198
D1,SMA_STM,1,STPS1H100A,C165701
"D10, D11, D6, D7, D8, D9",D_SOD-323,6,BAT48JFILM,C2798199
"D12, D13, D14, D20",0603,4,2Vf_G,C125098
"D15, D23",D_SOD-523,2,5Vwm,C51912417
"D16, D17, D18, D2",D_SOD-523,4,BAT30KFILM,C2926449
D19,0603,1,2Vf_R,C94869
"D21, D22",0603,2,2Vf_A,C5730905
"D3, D4",D_SOD-123,2,12Vz,C699126
D5,D_SMB,1,36.8Vwm,C468909
FB1,0603,1,600@100MHz,C304319
J1,KFA-1016-10_16-2P,1,KFA-1016-10_16-2P,C475110
J10,PinHeader_1x04_P2.54mm_Vertical,1,I2C,C3329732
J11,PinHeader_2x04_P2.54mm_Vertical,1,Misc,C3333874
J12,PinHeader_1x04_P2.54mm_Vertical,1,Voltage Monitor,C3329732
J2,KFA-1016-10_16-3P,1,KFA-1016-10_16-3P,C475111
J3,SAMTEC_FTSH-107-01-L-DV-K-A,1,FTSH-107-01-L-DV-K-A,C5563894
J4,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Throttle,C144394
J5,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,Hall,C144397
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Serial,C144395
J7,PinHeader_1x05_P2.54mm_Vertical,1,2.54 Comm,C3347212
J8,PinHeader_1x06_P2.54mm_Vertical,1,SPI,C5427040
J9,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,CAN,C144395
JP1,PinHeader_1x02_P2.54mm_Vertical,1,DIS_VDSMON,C5426960
L1,L_Sunlord_SWPA6045S,1,18uH,C96954
L2,L_Sunlord_SWPA6045S,1,33uH,C83451
"Q1, Q2",TO-263-2,2,SUM110P06-08L-E3,C5364638
"Q3, Q4, Q5, Q6, Q7, Q8",MOSFET_10N10F7_STM,6,STL110N10F7,C672185
"R1, R2, R3, R43, R44, R46, R48, R49, R5, R50, R51, R57, R58, R59, R62",0603,15,10k,C25804
"R10, R11, R15, R28, R29, R30, R31, R32, R33, R4",0603,10,22.1k,C25961
"R12, R13, R14, R7",0603,4,118k,C25806
"R16, R17, R18, R19, R20, R21, R25, R26, R27",0603,9,10,C22859
"R22, R23, R24",2512,3,0.5m/3W,C53447178
"R34, R35, R36, R37, R39, R42, R60, R61",0603,8,2.2k,C4190
"R38, R40, R41, R52, R53, R54, R55",0603,7,150,C22808
"R47, R56",0603,2,60.4,C23090
R6,0603,1,0,C21189
"R8, R9",0603,2,4.7k,C23162
SW1,TS-1187A-B-A-B,1,BOOT0,C318884
SW2,TS-1187A-B-A-B,1,RESET,C318884
SW3,TS-1187A-B-A-B,1,USER,C318884
TH1,0603,1,10k/1%,C440252
TP4,KEYSTONE_5016,1,GND,C238129
TP6,KEYSTONE_5016,1,PGND,C238129
U1,QFN_IN32G4_STM,1,STSPIN32G4,C7434864
U2,LMR51610XDBVR-SOT95P280X145-6N,1,LMR51610XDBVR,C20539658
U3,SOIC8_4P9X3P9MC_MCH,1,ATA6561-GAQW-N,C616016
X1,xtal4_CX3225SB_AVX,1,SWXC5ACVF0-32.000000,C22399832
