Designator,Mid X,Mid Y,Rotation,Layer
C1,59.895842,-66.993,0.0,top
C10,47.467421,-55.385,90.0,top
C11,55.359,-50.229,270.0,top
C12,45.689421,-55.385,90.0,top
C13,58.42,-50.991,180.0,top
C14,55.118,-25.908,0.0,top
C15,65.677793,-69.85,0.0,top
C16,47.485,-59.550998,270.0,top
C17,43.738906,-62.331998,0.0,top
C18,108.204,-34.29,0.0,top
C19,68.58,-20.397959,90.0,top
C2,57.342842,-67.768,90.0,top
C20,82.042,-20.397959,90.0,top
C21,95.504,-20.397959,90.0,top
C22,33.259,-27.937,180.0,top
C23,43.178,-25.397,90.0,top
C24,38.86,-31.747,0.0,top
C25,36.068,-32.268,90.0,top
C26,79.971266,-44.190573,180.0,top
C27,79.968012,-61.462573,180.0,top
C28,79.968012,-78.73345,180.0,top
C29,63.881457,-57.912,180.0,top
C3,59.882842,-68.771,0.0,top
C30,63.868457,-59.944,180.0,top
C31,63.868457,-61.913,180.0,top
C32,44.233906,-65.278,0.0,top
C33,50.292,-69.533,90.0,top
C34,53.780191,-69.5452,90.0,top
C35,80.264,-54.356,180.0,top
C36,80.251,-71.628,180.0,top
C37,80.251,-88.9,180.0,top
C38,43.688,-36.83,0.0,top
C39,40.132,-39.624,90.0,top
C4,55.564842,-67.768,90.0,top
C40,33.5148,-35.498,180.0,top
C41,22.987,-72.39,180.0,top
C42,44.645045,-74.146743,180.0,top
C43,26.403,-39.4527,0.0,top
C44,47.194482,-75.672801,270.0,top
C45,54.310793,-75.676643,270.0,top
C46,61.359793,-75.676643,270.0,top
C47,38.752,-62.34,270.0,top
C5,37.084,-70.612,90.0,top
C6,44.757,-47.181,0.0,top
C7,44.932,-50.991,0.0,top
C8,44.932,-49.213,0.0,top
C9,43.705579,-55.573,90.0,top
D1,50.6346,-42.863,180.0,top
D10,98.680174,-60.700573,270.0,top
D11,98.680174,-77.972573,270.0,top
D12,52.3495,-32.766,0.0,top
D13,52.3496,-35.2552,0.0,top
D14,52.3496,-37.7698,0.0,top
D15,25.717,-41.786,90.0,top
D16,48.972482,-75.926801,270.0,top
D17,56.088793,-75.930643,270.0,top
D18,63.137793,-75.930643,270.0,top
D19,29.7435,-79.883,0.0,top
D2,58.166,-25.908,180.0,top
D20,29.7435,-77.851,0.0,top
D21,33.8075,-46.355,0.0,top
D22,33.8075,-48.387,0.0,top
D23,25.71445,-37.08035,270.0,top
D3,115.57,-26.162,90.0,top
D4,109.092,-32.004,180.0,top
D5,112.014,-39.116,90.0,top
D6,84.540012,-43.42745,270.0,top
D7,84.540012,-60.69945,270.0,top
D8,84.540012,-77.972573,270.0,top
D9,98.680174,-43.428573,270.0,top
FB1,53.024842,-66.993,180.0,top
H1,15.494,-15.494,0.0,top
H2,133.35,-15.494,0.0,top
H3,15.494,-88.392,0.0,top
H4,133.35,-88.392,0.0,top
J1,121.855086,-41.91,90.0,top
J10,36.322,-18.542,90.0,top
J11,20.828,-26.543,180.0,top
J12,24.638,-18.542,90.0,top
J2,121.855086,-69.088,90.0,top
J3,49.403,-18.542,180.0,top
J4,20.655297,-65.91072,90.0,top
J5,53.305793,-82.725643,180.0,top
J6,20.64696,-53.302538,90.0,top
J7,19.558,-78.74,180.0,top
J8,29.972,-83.82,270.0,top
J9,20.637,-39.37,90.0,top
JP1,59.944,-44.387,270.0,top
L1,50.3298,-48.451,180.0,top
L2,38.608,-26.96,90.0,top
Q1,127.393,-24.657,0.0,top
Q2,108.204,-20.1122,90.0,top
Q3,81.811612,-48.38045,180.0,top
Q4,81.811612,-65.65245,180.0,top
Q5,81.811612,-82.92445,180.0,top
Q6,95.951774,-48.38045,180.0,top
Q7,95.951774,-65.65245,180.0,top
Q8,95.951774,-82.92445,180.0,top
R1,35.306,-70.612,90.0,top
R10,60.96,-22.161,90.0,top
R11,60.96,-18.732999,90.0,top
R12,115.57,-22.098,90.0,top
R13,104.881,-31.496,180.0,top
R14,27.671,-31.305,270.0,top
R15,29.449,-31.305,90.0,top
R16,82.524266,-43.40495,270.0,top
R17,82.524266,-60.67695,270.0,top
R18,82.524266,-77.950073,270.0,top
R19,96.748266,-43.428573,270.0,top
R2,36.274,-55.173,0.0,top
R20,96.748266,-60.700573,270.0,top
R21,96.748266,-77.972573,270.0,top
R22,102.082266,-47.324073,90.0,top
R23,102.082266,-64.596073,90.0,top
R24,102.082266,-81.868073,90.0,top
R25,44.233906,-67.056,180.0,top
R26,52.008842,-69.533,90.0,top
R27,56.388,-70.612,180.0,top
R28,84.540012,-53.33345,270.0,top
R29,82.762012,-53.33345,90.0,top
R3,36.274,-53.141,0.0,top
R30,84.540012,-70.66845,270.0,top
R31,82.762012,-70.66845,90.0,top
R32,84.540012,-87.87745,270.0,top
R33,82.762012,-87.87745,90.0,top
R34,80.264,-52.578,0.0,top
R35,80.264,-69.9008,0.0,top
R36,80.264,-87.122,0.0,top
R37,60.96,-25.4,90.0,top
R38,45.21,-25.397,270.0,top
R39,60.96,-28.702,90.0,top
R4,58.42,-47.435,180.0,top
R40,58.4201,-37.7698,180.0,top
R41,58.4201,-35.2552,180.0,top
R42,58.42,-32.766,0.0,top
R43,25.527,-68.326,270.0,top
R44,44.645045,-75.924743,0.0,top
R46,25.527,-71.628,90.0,top
R47,29.718,-40.324,180.0,top
R48,51.512482,-74.656801,0.0,top
R49,58.628793,-74.660643,0.0,top
R5,58.42,-49.213,0.0,top
R50,65.677793,-74.660643,0.0,top
R51,51.512482,-76.434801,180.0,top
R52,35.814,-79.883,180.0,top
R53,35.814,-77.851,180.0,top
R54,37.212,-46.355,180.0,top
R55,37.212,-48.387,180.0,top
R56,29.718,-38.546,0.0,top
R57,58.628793,-76.438643,180.0,top
R58,65.677793,-76.438643,180.0,top
R59,36.212,-63.332,0.0,top
R6,63.093457,-64.389,90.0,top
R60,34.227,-21.59,180.0,top
R61,38.417,-21.59,0.0,top
R62,36.212,-61.3,0.0,top
R7,58.42,-24.13,180.0,top
R8,55.118,-24.13,180.0,top
R9,65.677793,-71.628,180.0,top
SW1,30.432,-54.157,180.0,top
SW2,30.48,-70.612,0.0,top
SW3,30.48,-62.34,0.0,top
TH1,88.864072,-77.978,90.0,top
TP1,60.452,-70.866,0.0,top
TP10,108.204,-36.322,180.0,top
TP11,105.156,-33.528,180.0,top
TP12,34.034,-24.635,90.0,top
TP13,42.926,-80.01,90.0,top
TP14,63.754,-79.502,180.0,top
TP15,66.04,-79.502,90.0,top
TP16,28.7528,-36.576,0.0,top
TP17,28.448,-43.434,180.0,top
TP2,45.72,-44.704,0.0,top
TP3,41.371421,-54.877,0.0,top
TP4,41.0972,-87.63,180.0,top
TP5,101.092,-14.732,0.0,top
TP6,112.268,-45.974,270.0,top
TP7,56.896,-27.94,0.0,top
TP8,65.278,-68.072,0.0,top
TP9,127.0,-15.494,180.0,top
U1,55.331441,-58.9896,0.0,top
U2,32.751,-30.731,0.0,top
U3,35.2928,-39.4527,180.0,top
X1,44.099,-59.588999,270.0,top
